[Info]
length_unit = µm
time_unit = µs
fov = 3.999998246574961, 3.990000000000009
center = (122.99999912328748, 456.005)
base_dwell_time = None
total_dwell_time = 221360000.0
number_of_points = 44272
description = an optional description for yourself
time_stamp = 2023-03-22 16:42:43.142372

[Points]
121.70974 457.73385 5000
121.71067 457.73350 5000
121.71161 457.73315 5000
121.71255 457.73280 5000
121.71348 457.73244 5000
121.71442 457.73209 5000
121.71536 457.73174 5000
121.71629 457.73139 5000
121.71723 457.73104 5000
121.71816 457.73069 5000
121.71910 457.73034 5000
121.72004 457.72999 5000
121.72097 457.72963 5000
121.72191 457.72928 5000
121.72285 457.72893 5000
121.72378 457.72858 5000
121.72472 457.72823 5000
121.72566 457.72788 5000
121.72659 457.72753 5000
121.72753 457.72718 5000
121.72846 457.72683 5000
121.72940 457.72647 5000
121.73034 457.72612 5000
121.73127 457.72577 5000
121.73221 457.72542 5000
121.73315 457.72507 5000
121.73408 457.72472 5000
121.73502 457.72437 5000
121.73595 457.72402 5000
121.73689 457.72367 5000
121.73783 457.72331 5000
121.73876 457.72296 5000
121.73970 457.72261 5000
121.74064 457.72226 5000
121.74157 457.72191 5000
121.74251 457.72156 5000
121.74345 457.72121 5000
121.74438 457.72086 5000
121.74532 457.72051 5000
121.74625 457.72015 5000
121.74719 457.71980 5000
121.74813 457.71945 5000
121.74906 457.71910 5000
121.75000 457.71875 5000
121.75094 457.71840 5000
121.75187 457.71805 5000
121.75281 457.71770 5000
121.75374 457.71735 5000
121.75468 457.71699 5000
121.75562 457.71664 5000
121.75655 457.71629 5000
121.75749 457.71594 5000
121.75843 457.71559 5000
121.75936 457.71524 5000
121.76030 457.71489 5000
121.76124 457.71454 5000
121.76217 457.71419 5000
121.76311 457.71383 5000
121.76404 457.71348 5000
121.76498 457.71313 5000
121.76592 457.71278 5000
121.76685 457.71243 5000
121.76779 457.71208 5000
121.76873 457.71173 5000
121.76966 457.71138 5000
121.77060 457.71103 5000
121.77154 457.71067 5000
121.77247 457.71032 5000
121.77341 457.70997 5000
121.77434 457.70962 5000
121.77528 457.70927 5000
121.77622 457.70892 5000
121.77715 457.70857 5000
121.77809 457.70822 5000
121.77903 457.70787 5000
121.77996 457.70751 5000
121.78090 457.70716 5000
121.78183 457.70681 5000
